,0208 2H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1579,
1,BALLOTS CAST - TOTAL.,374,
2,VOTER TURNOUT - TOTAL,,23.69
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,276,74.39
6,JOSE F. TOSADO.,92,24.80
7,WRITE-IN.,3,.81
8,Blanks,3,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,228,15.78
12,JAMES J. FERRERA,163,11.28
13,TIMOTHY J. ROOKE,188,13.01
14,KATERI B. WALSH .,172,11.90
15,JOSEPH R. FOUNTAIN .,145,10.03
16,JUSTIN J. HURST .,123,8.51
17,AMAAD RIVERA .,117,8.10
18,CHARLES H. RUCKS,84,5.81
19,MIGUEL A. SOTO.,79,5.47
20,BUD L. WILLIAMS,136,9.41
21,WRITE-IN.,10,.69
22,Blanks,425,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,258,98.10
26,WRITE-IN,5,1.90
27,Blanks,111,
