,REGISTERED VOTERS - TOTAL,VOTES 426,PERCENT
0,BALLOTS CAST - TOTAL.,72,
1,VOTER TURNOUT - TOTAL,,16.90
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,54,78.26
5,SALVATORE S. CIRCOSTA,12,17.39
6,WRITE-IN.,3,4.35
7,Blanks,3,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,14,5.98
10,JUSTIN J. HURST,47,20.09
11,TIMOTHY J. ROOKE,25,10.68
12,KATERI B. WALSH,36,15.38
13,BUD L. WILLIAMS,54,23.08
14,LaMAR COOK,20,8.55
15,JEFFERY P. DONNELLY,6,2.56
16,JESSE L. LEDERMAN.,18,7.69
17,"KENNETH S. POOLER, JR",5,2.14
18,ALEXANDER J. SHERMAN.,7,2.99
19,WRITE-IN.,2,.85
20,Blanks,126,
21,WARD FOUR COUNCILLOR,,
22,VOTE FOR 1,,
23,E. HENRY TWIGGS,44,67.69
24,VICTORIA E. ROWE,20,30.77
25,WRITE-IN.,1,1.54
26,Blanks,7,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI).,48,72.73
30,NO (NO),18,27.27
31,Blanks,6,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),39,65.00
35,NO (NO),21,35.00
36,Blanks,12,
