,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1492,
1,BALLOTS CAST - TOTAL.,173,
2,VOTER TURNOUT - TOTAL,,11.60
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,81,46.55
6,ANTONETTE E. PEPE.,31,17.82
7,JOSE F. TOSADO.,62,35.63
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,82,13.18
13,JAMES J. FERRERA,48,7.72
14,TIMOTHY J. ROOKE,54,8.68
15,KATERI B. WALSH,65,10.45
16,BRUCE SAMUEL ADAMS JR,26,4.18
17,DAVID F. CIAMPI,8,1.29
18,JOSEPH R. FOUNTAIN,31,4.98
19,JUSTIN J. HURST,81,13.02
20,AMAAD RIVERA,46,7.40
21,CHARLES H. RUCKS,32,5.14
22,MIGUEL A. SOTO.,49,7.88
23,JOHN W. STEVENS,15,2.41
24,BUD L. WILLIAMS,79,12.70
25,WRITE-IN.,6,.96
26,Blanks,248,
