,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1710,
1,,BALLOTS CAST - TOTAL.,91,
2,,VOTER TURNOUT + TOTAL,,5.32
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS ASHE.,25,8.90
6,,JUSTIN J. HURST,58,20.64
7,,KATERI B. WALSH,27,9.61
8,,ERNESTO E. CRUZ .,17,6.05
9,,VICTOR G. DAVILA,14,4.98
10,,MARILYN FELIX,11,3.91
11,,JESSE LEDERMAN.,17,6.05
12,,JYNAI S. McDONALD.,22,7.83
13,,KELVIN MOLINA,10,3.56
14,,KELLI P. MORIARTY-FINN,7,2.49
15,,TIMOTHY RYAN,12,4.27
16,,WILLIE J. THOMAS,20,7.12
17,,TRACYE L. WHITFIELD,41,14.59
18,,WRITE-IN.,0,
19,,Blanks,174,38.24
20,,CITY COUNCIL WARD 4 VOTE FOR 1,,
21,,E. HENRY TWIGGS,44,50.57
22,,LORENZO D. GAINES.,16,18.39
23,,ROBERT J. KELLY,13,14.94
24,,LARRY LAWSON,9,10.34
25,,CANDEJAH PINK,4,4.60
26,,WRITE-IN.,1,1.15
27,,Blanks,4,4.40
28,,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
29,,DENISE MARIE HURST,46,33.58
30,,JAMES M. ANZIANO,5,3.65
31,,LaMAR COOK,31,22.63
32,,JAMES J. FERRERA III.,10,7.30
33,,JOESIAH GONZALEZ,11,8.03
34,,RYAN HESS,2,1.46
35,,MICHAEL D. KOCSMIERSKY,0,
36,,LaTONIA MONROE NAYLOR,32,23.36
37,,WRITE-IN.,0,
38,,Blanks,45,24.73
39,,SCHOOL COMMITTEE DISTRICT 2,,
40,,VOTE FOR 1,,
41,,BARBARA GRESHAM,37,52.11
42,,STEPHANIE MURCHISON-BROWN,23,32.39
43,,GISELLE VIZCARRONDO,9,12.68
44,,WRITE-IN.,2,2.82
45,,Blanks,20,21.98
