,REGISTERED VOTERS - TOTAL,VOTES 1562,PERCENT
0,BALLOTS CAST - TOTAL.,240,
1,VOTER TURNOUT - TOTAL,,15.36
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,183,77.54
5,SALVATORE S. CIRCOSTA,50,21.19
6,WRITE-IN.,3,1.27
7,Blanks,4,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,159,18.07
10,JUSTIN J. HURST,111,12.61
11,TIMOTHY J. ROOKE,150,17.05
12,KATERI B. WALSH,121,13.75
13,BUD L. WILLIAMS,124,14.09
14,LaMAR COOK,43,4.89
15,JEFFERY P. DONNELLY,46,5.23
16,JESSE L. LEDERMAN.,60,6.82
17,"KENNETH S. POOLER, JR",29,3.30
18,ALEXANDER J. SHERMAN.,35,3.98
19,WRITE-IN.,2,.23
20,Blanks,320,
21,WARD TWO COUNCILLOR,,
22,VOTE FOR 1,,
23,MICHAEL A. FENTON.,168,97.11
24,WRITE-IN,5,2.89
25,Blanks,67,
26,QUESTION 1,,
27,VOTE FOR 1,,
28,YES (SI),159,72.27
29,NO (NO),61,27.73
30,Blanks,20,
31,QUESTION 2,,
32,VOTE FOR 1,,
33,YES (SI),115,55.29
34,NO (NO),93,44.71
35,Blanks,32,
