,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1509,
1,BALLOTS CAST . TOTAL.,269,
2,VOTER TURNOUT . TOTAL,,17.83
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,187,69.78
6,JOSE F. TOSADO.,79,29.48
7,WRITE-IN.,2,.75
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,145,14.92
12,JAMES J. FERRERA,119,12.24
13,TIMOTHY J. ROOKE,116,11.93
14,KATERI B. WALSH .,112,11.52
15,JOSEPH R. FOUNTAIN,58,5.97
16,JUSTIN J. HURST,119,12.24
17,AMAAD RIVERA,71,7.30
18,CHARLES H. RUCKS,70,7.20
19,MIGUEL A. SOTO.,54,5.56
20,BUD L. WILLIAMS,108,11.11
21,WRITE-IN.,0,
22,Blanks,373,
23,CITY COUNCIL WARD 7,,
24,VOTE FOR 1,,
25,TIMOTHY C. ALLEN,167,98.82
26,WRITE-IN.,2,1.18
27,Blanks,100,
