,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1517 249,
1,BALLOTS CAST - TOTAL,,16.41
2,VOTER TURNOUT - TOTAL,,
3,MAYOR,,
4,VOTE FOR 1,166,67.48
5,DOMENIC J. SARNO,,17.48
6,ANTONETTE E. PEPE.,43 36,14.63
7,JOSE F. TOSADO.,1,.41
8,WRITE-IN.,4,
9,Blanks,,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,140,15.22
12,THOMAS ASHE.,113,12.28
13,JAMES J. FERRERA,124,13.48
14,TIMOTHY J. ROOKE,134,14.57
15,KATERI B. WALSH,31,3.37
16,BRUCE SAMUEL ADAMS JR,36,3.91
17,DAVID F. CIAMPI,32,3.48
18,JOSEPH R. FOUNTAIN,50,5.43
19,JUSTIN J. HURST,86,9.35
20,AMAAD RIVERA,24,2.61
21,CHARLES H. RUCKS,30,3.26
22,MIGUEL A. SOTO.,27,2.93
23,JOHN W. STEVENS,87,9.46
24,BUD L. WILLIAMS,6,.65
25,WRITE-IN.,330,
