,0605 6E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1504,
1,BALLOTS CAST - TOTAL.,102,
2,VOTER TURNOUT - TOTAL,,6.78
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,40,10.23
6,JUSTIN J. HURST,43,11.00
7,KATERI B. WALSH,42,10.74
8,ERNESTO E. CRUZ,33,8.44
9,VICTOR G. DAVILA,51,13.04
10,JESSE LEDERMAN.,41,10.49
11,JYNAI S. McDONALD.,25,6.39
12,KELLI P. MORIARTY-FINN,26,6.65
13,TIMOTHY RYAN,53,13.55
14,TRACYE L. WHITFIELD,37,9.46
15,WRITE-IN.,0,
16,Blanks,119,
17,CITY COUNCIL WARD 6,,
18,VOTE FOR 1,,
19,KENNETH SHEA,64,72.73
20,BOB COLLAMORE,24,27.27
21,WRITE-IN.,0,
22,Blanks,14,
23,SCHOOL COMMITTEE AT LARGE,,
24,VOTE FOR 2,,
25,DENISE MARIE HURST,49,28.00
26,JAMES J. FERRERA III.,47,26.86
27,RYAN HESS,29,16.57
28,LaTONIA MONROE NAYLOR,49,28.00
29,WRITE-IN.,1,.57
30,Blanks,29,
31,SCHOOL COMMITTEE DISTRICT 3,,
32,VOTE FOR 1,,
33,CHRISTOPHER COLLINS,65,94.20
34,WRITE-IN.,4,5.80
35,Blanks,33,
