,0801 8A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1427,
1,BALLOTS CAST - TOTAL.,193,
2,VOTER TURNOUT - TOTAL,,13.52
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,105,54.12
6,ANTONETTE E. PEPE.,52,26.80
7,JOSE F. TOSADO.,37,19.07
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,116,15.10
13,JAMES J. FERRERA,79,10.29
14,TIMOTHY J. ROOKE,85,11.07
15,KATERI B. WALSH,85,11.07
16,BRUCE SAMUEL ADAMS JR,42,5.47
17,DAVID F. CIAMPI,23,2.99
18,JOSEPH R. FOUNTAIN,46,5.99
19,JUSTIN J. HURST,54,7.03
20,AMAAD RIVERA,46,5.99
21,CHARLES H. RUCKS,39,5.08
22,MIGUEL A. SOTO.,50,6.51
23,JOHN W. STEVENS,33,4.30
24,BUD L. WILLIAMS,69,8.98
25,WRITE-IN.,1,.13
26,Blanks,202,
