,,0107 1G VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1950 200,
1,,BALLOTS CAST - TOTAL,,10.26
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,152,76.77
5,,DOMENIC J. SARNO,44,22.22
6,,SALVATORE S. CIRCOSTA,2,1.01
7,,WRITE-IN.,2,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,103,14.43
11,,THOMAS ASHE.,98,13.73
12,,JUSTIN J. HURST,89,12.46
13,,TIMOTHY J. ROOKE,105,14.71
14,,KATERI B. WALSH,105,14.71
15,,BUD L. WILLIAMS,56,7.84
16,,LaMAR COOK,34,4.76
17,,JEFFERY P. DONNELLY,72,10.08
18,,JESSE L. LEDERMAN.,19,2.66
19,,"KENNETH S. POOLER, JR",31,4.34
20,,ALEXANDER J. SHERMAN.,2,.28
21,,WRITE-IN.,286,
22,,Blanks,,
23,,WARD ONE COUNCILLOR,,
24,,VOTE FOR 1,88,49.72
25,,ZAIDA LUNA,89,50.28
26,,ADAM GOMEZ,0,
27,,WRITE-IN. Blanks,23,
28,,QUESTION 1,,
29,,VOTE FOR 1,127,69.78
30,,YES (SI),55,30.22
31,,NO (NO),18,
32,,Blanks,,
33,,QUESTION 2,,
34,,VOTE FOR 1,118,66.29
35,,YES (SI),,60 33.71
36,,NO (NO) Blanks,,22
