,0206 2F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1741,
1,BALLOTS CAST - TOTAL.,155,
2,VOTER TURNOUT - TOTAL,,8.90
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,86,15.96
6,JAMES J. FERRERA,71,13.17
7,TIMOTHY ROOKE .,79,14.66
8,KATERI B. WALSH .,74,13.73
9,BUD L. WILLIAMS .,67,12.43
10,JOSHUA CARPENTER,18,3.34
11,ERNESTO E. CRUZ,39,7.24
12,JEFFERY P. DONNELLY,29,5.38
13,JUSTIN J. HURST,71,13.17
14,WRITE-IN.,5,.93
15,Blanks,236,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,112,99.12
19,WRITE-IN.,1,.88
20,Blanks,42,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE M. HURST,86,37.89
23,ANTONETTE PEPE.,71,31.28
24,CALVIN J. McFADDEN,69,30.40
25,WRITE-IN.,1,.44
26,Blanks,83,
27,SCHOOL COMMITTEE DISTRICT 4,,
28,VOTE FOR 1,,
29,PETER M. MURPHY,101,72.66
30,ZAIDA GOVAN.,37,26.62
31,WRITE-IN.,1,.72
32,Blanks,16,
