,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1231,
1,BALLOTS CAST - TOTAL.,69,
2,VOTER TURNOUT - TOTAL,,5.61
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,43,63.24
6,ANTONETTE E. PEPE.,9,13.24
7,JOSE F. TOSADO.,16,23.53
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,36,17.06
13,JAMES J. FERRERA,29,13.74
14,TIMOTHY J. ROOKE,27,12.80
15,KATERI B. WALSH,25,11.85
16,BRUCE SAMUEL ADAMS JR,9,4.27
17,DAVID F. CIAMPI,10,4.74
18,JOSEPH R. FOUNTAIN,5,2.37
19,JUSTIN J. HURST,9,4.27
20,AMAAD RIVERA,16,7.58
21,CHARLES H. RUCKS,8,3.79
22,MIGUEL A. SOTO.,12,5.69
23,JOHN W. STEVENS,8,3.79
24,BUD L. WILLIAMS,17,8.06
25,WRITE-IN.,0,
26,Blanks,134,
