,0303 3C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1455,
1,BALLOTS CAST - TOTAL,80,
2,VOTER TURNOUT - TOTAL,,5.50
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,39,13.78
6,JAMES J. FERRERA,38,13.43
7,TIMOTHY ROOKE .,34,12.01
8,KATERI B. WALSH .,35,12.37
9,BUD L. WILLIAMS .,39,13.78
10,JOSHUA CARPENTER .,8,2.83
11,ERNESTO E. CRUZ,42,14.84
12,JEFFERY P. DONNELLY,15,5.30
13,JUSTIN J. HURST,31,10.95
14,WRITE-IN.,2,.71
15,Blanks,117,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,41,59.42
19,SALVATORE S. CIRCOSTA,28,40.58
20,WRITE-IN.,0,
21,Blanks,11,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE M. HURST,45,39.82
24,ANTONETTE PEPE.,32,28.32
25,CALVIN J. McFADDEN,36,31.86
26,WRITE-IN.,0,
27,Blanks,47,
28,SCHOOL COMMITTEE DISTRICT 1,,
29,VOTE FOR 1,,
30,NORMAN ROLDAN,24,33.33
31,ROSA PEREZ,47,65.28
32,WRITE-IN.,1,1.39
33,Blanks,8,
