,REGISTERED VOTERS - TOTAL,1777,
0,BALLOTS CAST - TOTAL.,256,
1,VOTER TURNOUT - TOTAL,,14.41
2,CITY COUNCIL AT LARGE,,
3,VOTE FOR 5,,
4,THOMAS M. ASHE.,133,13.91
5,JAMES J. FERRERA,116,12.13
6,TIMOTHY ROOKE .,138,14.44
7,KATERI B. WALSH .,125,13.08
8,BUD L. WILLIAMS .,99,10.36
9,JOSHUA CARPENTER .,51,5.33
10,ERNESTO E. CRUZ,70,7.32
11,JEFFERY P. DONNELLY,71,7.43
12,JUSTIN J. HURST,148,15.48
13,WRITE-IN.,5,.52
14,Blanks,324,
15,CITY COUNCIL WARD 7,,
16,VOTE FOR 1,,
17,TIMOTHY C. ALLEN,158,94.05
18,WRITE-IN.,10,5.95
19,Blanks,88,
20,SCHOOL COMMITTEE AT LARGE,,
21,VOTE FOR 2,,
22,DENISE M. HURST,137,34.60
23,ANTONETTE PEPE.,135,34.09
24,CALVIN J. McFADDEN,122,30.81
25,WRITE-IN.,2,.51
26,Blanks,116,
27,SCHOOL COMMITTEE DISTRICT 3,,
28,VOTE FOR 1,,
29,CHRISTOPHER COLLINS,155,95.68
30,WRITE-IN.,7,4.32
31,Blanks,94,
