,REGISTERED VOTERS - TOTAL,VOTES 1526,PERCENT
0,BALLOTS CAST - TOTAL.,331,
1,VOTER TURNOUT - TOTAL,,21.69
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,221,71.52
5,SALVATORE S. CIRCOSTA,84,27.18
6,WRITE-IN,4,1.29
7,Blanks,22,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,149,13.51
11,JUSTIN J. HURST,130,11.79
12,TIMOTHY J. ROOKE,150,13.60
13,KATERI B. WALSH,205,18.59
14,BUD L. WILLIAMS,123,11.15
15,LaMAR COOK,36,3.26
16,JEFFERY P. DONNELLY,38,3.45
17,JESSE L. LEDERMAN.,189,17.14
18,"KENNETH S. POOLER, JR",39,3.54
19,ALEXANDER J. SHERMAN.,42,3.81
20,WRITE-IN.,2,.18
21,Blanks,552,
22,WARD SIX COUNCILLOR,,
23,VOTE FOR 1,,
24,KENNETH SHEA,203,72.50
25,KIM M. RIVERA,77,27.50
26,WRITE-IN.,0,
27,Blanks,51,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),173,57.28
31,NO (NO),129,42.72
32,Blanks,29,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),147,52.13
36,NO (NO),135,47.87
37,Blanks,49,
